src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,predicted_score,predicted_label
192.168.100.123,239.255.255.250,41339,1900,da:94:86:4d:80:58,b4:69:21:61:a7:3d,17,2023-03-22 18:12:29,597500.0858306885,838.4936034000281,5.020919780838491,5.020919780838491,0.0,3,0,501,0,167.0,167.0,167.0,0.0,0.0,0.0,0.0,0.0,167,167,167.0,0.0,0.0,24,0,8,3,298750.04291534424,300270.79582214355,297229.2900085449,1520.7529067993164,597500.0858306885,300270.79582214355,297229.2900085449,298750.04291534424,1520.7529067993164,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,167.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,0.0,0,3,0,501,0,BENIGN,0.93
192.168.100.214,192.168.100.1,47314,53,b4:69:21:61:a7:3d,c8:1f:be:4e:a4:a6,17,2023-03-22 18:12:30,83094.59686279297,2382.8264108067165,24.068953644512288,12.034476822256144,12.034476822256144,1,1,79,119,79.0,79.0,79.0,0.0,119.0,119.0,119.0,0.0,119,79,99.0,20.0,400.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,99.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,119.0,0,1,1,79,119,BENIGN,0.99
192.168.100.214,172.217.170.206,51080,443,b4:69:21:61:a7:3d,c8:1f:be:4e:a4:a6,17,2023-03-22 18:12:30,846586.2274169922,16943.342019353167,27.167935474422954,14.174575030133715,12.99336044428924,12,11,7843,6501,1292.0,76.0,653.5833333333334,580.2004622446357,1292.0,64.0,591.0,569.6008171597815,1292,64,623.6521739130435,576.0044239485644,331781.09640831756,96,88,8,12,38481.192155317825,167811.87057495117,0.2384185791015625,53584.983628585134,846586.2274169922,210627.31742858887,16.21246337890625,76962.38431063565,73125.02899229433,729605.1979064941,194679.49867248535,0.2384185791015625,72960.51979064941,61958.01360414667,0,0,0,0,1,0,0,0,0,0,0,0.9166666666666666,623.6521739130435,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4591.0,4.0,0.0,0.0,16700823.646140503,0.0,653.5833333333334,591.0,0,12,11,7843,6501,BENIGN,0.99
192.168.100.214,104.18.3.161,41613,443,b4:69:21:61:a7:3d,c8:1f:be:4e:a4:a6,17,2023-03-22 18:12:28,11424390.5544281,5668.311118346715,11.991886949881867,6.827497679494785,5.1643892703870815,78,59,45613,19144,1292.0,87.0,584.7820512820513,566.087667565856,1242.0,65.0,324.47457627118644,452.8720160409076,1292,65,472.6788321167883,536.0857178205654,287387.89685119083,624,472,8,78,84002.87172373604,1606836.0805511475,0.2384185791015625,182936.24227896257,11424390.5544281,1760695.9342956543,10.967254638671875,148368.70849906624,277526.14020674326,11222411.87095642,1772135.9729766846,0.2384185791015625,193489.8598440762,302352.45517315087,0,0,0,0,1,0,0,0,0,0,0,0.7564102564102564,472.6788321167883,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5670.142857142857,6.857142857142857,1139.5,5.25,47550.21839506275,90744.6903144654,584.7820512820513,324.47457627118644,0,78,59,45613,19144,BENIGN,0.98
192.168.100.123,239.255.255.250,46920,1900,da:94:86:4d:80:58,b4:69:21:61:a7:3d,17,2023-03-22 18:12:39,604099.2736816406,829.3338890257071,4.966071191770701,4.966071191770701,0.0,3,0,501,0,167.0,167.0,167.0,0.0,0.0,0.0,0.0,0.0,167,167,167.0,0.0,0.0,24,0,8,3,302049.6368408203,360975.7423400879,243123.53134155273,58926.10549926758,604099.2736816406,360975.7423400879,243123.53134155273,302049.6368408203,58926.10549926758,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,167.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,0.0,0,3,0,501,0,BENIGN,0.94
192.168.100.72,239.255.255.250,36079,1900,34:f3:9a:0b:3d:d0,b4:69:21:61:a7:3d,17,2023-03-22 18:12:42,2938877.820968628,291.26763756305803,1.3610637269301775,1.3610637269301775,0.0,4,0,856,0,214.0,214.0,214.0,0.0,0.0,0.0,0.0,0.0,214,214,214.0,0.0,0.0,32,0,8,4,979625.940322876,1310952.90184021,620617.3896789551,282507.2065395446,2938877.820968628,1310952.90184021,620617.3896789551,979625.940322876,282507.2065395446,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,214.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,0.0,0,4,0,856,0,BENIGN,0.96
192.168.100.214,192.168.100.1,37812,53,b4:69:21:61:a7:3d,c8:1f:be:4e:a4:a6,17,2023-03-22 18:12:48,81681.72836303711,3574.850898137175,24.485280124227227,12.242640062113614,12.242640062113614,1,1,82,210,82.0,82.0,82.0,0.0,210.0,210.0,210.0,0.0,210,82,146.0,64.0,4096.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,146.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,210.0,0,1,1,82,210,BENIGN,0.99
192.168.100.214,54.83.55.199,34618,443,b4:69:21:61:a7:3d,c8:1f:be:4e:a4:a6,6,2023-03-22 18:12:49,975401.1631011963,5101.490738620073,24.605260797202924,13.327849598484917,11.277411198718006,13,11,3607,1369,1466.0,66.0,277.46153846153845,378.2273665778328,438.0,66.0,124.45454545454545,104.51303845268097,1466,66,207.33333333333334,297.1651710562476,88307.13888888889,260,220,20,7,42403.190032295555,268327.4745941162,-127.7923583984375,92209.5692795798,721741.6763305664,268486.97662353516,26.702880859375,60145.13969421387,104011.46418905031,707073.6885070801,253777.50396728516,0.2384185791015625,70707.36885070801,107993.69683285443,0,0,0,0,1,0,0,0,0,0,0,0.8461538461538461,207.33333333333334,64240,184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2186.0,5.0,0.0,0.0,1660704.3187828292,0.0,277.46153846153845,124.45454545454545,0,13,11,3607,1369,BENIGN,1.0
192.168.100.214,54.83.55.199,34620,443,b4:69:21:61:a7:3d,c8:1f:be:4e:a4:a6,6,2023-03-22 18:12:49,790341.6156768799,2276.230890941084,18.979134721576575,10.12220518484084,8.856929536735734,8,7,1104,695,583.0,66.0,138.0,168.9977810505215,171.0,66.0,99.28571428571429,38.08904711598968,583,66,119.93333333333334,127.60170671098236,16282.195555555558,160,140,20,2,56423.35755484445,277163.2671356201,-247.47848510742188,101270.14989988886,790341.6156768799,321265.93589782715,36.716461181640625,112905.94509669712,132825.9626972652,497204.065322876,278230.6671142578,0.2384185791015625,82867.34422047932,118433.26438621704,0,0,0,0,1,0,0,0,0,0,0,0.875,119.93333333333334,64240,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,99.28571428571429,0,8,7,1104,695,BENIGN,1.0
192.168.100.123,239.255.255.250,32892,1900,da:94:86:4d:80:58,b4:69:21:61:a7:3d,17,2023-03-22 18:12:49,528573.2746124268,947.8345275162754,5.675655853390871,5.675655853390871,0.0,3,0,501,0,167.0,167.0,167.0,0.0,0.0,0.0,0.0,0.0,167,167,167.0,0.0,0.0,24,0,8,3,264286.6373062134,283704.0424346924,244869.23217773438,19417.405128479004,528573.2746124268,283704.0424346924,244869.23217773438,264286.6373062134,19417.405128479004,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,167.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,0.0,0,3,0,501,0,BENIGN,0.94
